ID,Source,Page,X1,Y1,X2,Y2,Width,Height,TextLength,Text
W-001,web,1,1545,425,2934,646,1389,221,22,"参加寺社一覧
大分
長崎
熊本
鹿児島
宮崎"
W-002,web,1,905,604,1004,643,99,39,2,福岡
W-003,web,1,1225,604,1331,646,106,42,2,佐賀
W-004,web,1,838,806,1993,1305,1155,499,106,"とすやさかじんじゃ33鳥栖八坂神社
1299年(正安元年)に京都の祇園感神院(現在の八坂神社)から勧明治元年、神仏判然令により八坂神社に改称。毎年7月には例大祭である祇園祭に山笠が奉納される。
特別
御朱印
佐賀"
W-005,web,1,1945,1324,2118,1497,173,173,19,"【鳥栖駅】久富駅長
Googlemap"
W-006,web,1,870,1462,1430,1494,560,32,17,最寄り駅JR鳥栖駅から徒歩約15分
W-007,web,1,838,1580,1520,1891,682,311,87,"住所佐賀県鳥栖市本町1-867
電話:0942-82-3317
初穂料特別御朱印500円御朱印500円御朱印対応時間:9:00~17:00
※通常は書置きでの対応となります。"
W-008,web,1,2640,1766,2809,2076,169,310,8,"八坂神社
六五十"
W-009,web,1,2134,1786,2248,2065,114,279,4,八坂神社
W-010,web,1,2118,2108,2281,2169,163,61,14,"特別御朱印
置き(500円)"
W-011,web,1,2668,2108,2828,2176,160,68,11,"御朱印
置(500円)"
W-012,web,1,838,2390,1830,2694,992,304,83,"34佐嘉神社
佐賀藩10代藩主鍋島直正、11代鍋島直大公を祀る神社。境内には佐賀藩が日本で初めて造った鉄製カノン砲やアームストロング砲が復元されている。
さがじんじゃ"
W-013,web,1,1939,2707,2121,2889,182,182,20,"【佐賀駅】一ノ瀬駅長
Googlemap"
W-014,web,1,870,2851,1801,2883,931,32,28,最寄り駅JR佐賀駅からバスで「佐嘉神社前」下車、徒歩すぐ
W-015,web,1,838,2979,1440,3449,602,470,112,"住所:佐賀県佐賀市松原2-10-43
電話:0952-24-9195
初穂料御朱印500円以上のお気持ち御朱印対応時間:9:00~16:00
※行事開催時は対応不可あり※行事期間は書置きのみ
ホームページ
Instagram"
W-016,web,1,2083,3129,2252,3526,169,397,10,"佐
弟
白社
御朱印"
W-017,web,1,2067,3536,2339,3593,272,57,21,直書きと書置き両方500円以上のお気持ち)
W-018,web,1,838,3817,1827,4124,989,307,111,"35唐津神社
住吉三神と神田宗次とを祀る、白い鳥居が印象的な神社。唐津最大の祭り「唐津くんち」は、唐津神社の秋季例大祭として毎年11月2日から4日に行われ、14台の曳山が唐津の町を巡行する。
特別
【御朱印
からつじんじゃ"
W-019,web,1,1945,4153,2124,4329,179,176,19,"【唐津駅】山川駅長
Googlemap"
W-020,web,1,870,4294,1427,4323,557,29,17,最寄り駅JR唐津駅から徒歩約10分
W-021,web,1,838,4416,1552,4729,714,313,78,"住所:佐賀県唐津市南城内3-13電話:0955-72-2264
初穂料特別御朱印1,500円御朱印500円御朱印対応時間:9:00~17:00
ホームページ"
W-022,web,1,2704,4528,2793,4918,89,390,4,唐冰神社
W-023,web,1,2083,4940,2297,4998,214,58,17,"特別御朱印
書置き(1,500円)"
W-024,web,1,2640,4937,2835,4998,195,61,13,"御朱印
直書き(500円)"
W-025,web,1,838,5206,1833,5526,995,320,109,"おおえがみだいじんぐう
36大江神大神宮
731(天平3年)建立。御祭神は天照大御神、豊受姫大神。佐賀を築
き上げた武将たちに護られてきた神社。江北駅(旧肥前山口駅)の歴史も保存され、知ることができる。
/特別
御朱印"
W-026,web,1,1948,5539,2121,5715,173,176,20,"【江北駅】
鴨川駅長
Googlemap"
W-027,web,1,870,5680,1430,5712,560,32,17,最寄り駅JR江北駅から徒歩約25分
W-028,web,1,838,5804,1552,6227,714,423,102,"住所:佐賀県杵島郡江北町山口5034-2
電話:0952-86-2291
初穂料特別御朱印1,000円御朱印500円
御朱印対応時間:日曜日10:00~15:00
※平日はメールにて要問合せ
ホームページ"
W-029,web,1,2105,6326,2291,6387,186,61,15,"特別御朱印置き(1,000円)"
W-030,web,1,2643,6323,2828,6387,185,64,12,御朱印書置き(500円)
W-031,web,1,838,6608,1830,6915,992,307,95,"37武雄神社
天平7年に創建。武内宿禰を主神とする九州五社の一つ。源頼朝に由来する武雄流鏑馬など源氏と深い縁がある。樹齢三千年の御神木と共に信仰を集めている。
(特別
御朱印
たけおじんじゃ"
W-032,web,1,1926,6928,2121,7107,195,179,22,"【武雄温泉駅】
村子駅長
Googlemap"
W-033,web,1,870,7072,1491,7104,621,32,19,最寄り駅JR武雄温泉駅から徒歩約25分
W-034,web,1,838,7196,1427,7622,589,426,97,"住所:佐賀県武雄市武雄町大字武雄5327
電話:0954-22-2976
初穂料特別御朱印1,000円御朱印対応時間:9:00~17:00
※対応不可時間帯あり
ホームページ
Instagram"
W-035,web,1,2076,7715,2297,7776,221,61,17,"特別御朱印
書置き(1,000円)"
W-036,web,1,838,7996,1830,8307,992,311,105,"とよたまひめじんじゃ38豊玉姫神社
嬉野温泉に鎮座する美肌の神豊玉姫を祀る神社。嬉野温泉の湯で手水を使い、豊玉姫の遣い、白なまずに水をかけ美肌祈願を行う。絵馬奉納や美肌守など特製の授与品も人気。
(特別
御朱印"
W-037,web,1,1926,8316,2118,8496,192,180,22,"【嬉野温泉駅】
中野駅長
Googlemap"
W-038,web,1,870,8451,1494,8489,624,38,20,"JR嬉野温泉駅から徒歩約25分
最寄り駅"
W-039,web,1,838,8585,1779,9107,941,522,145,"住所:佐賀県嬉野市嬉野町大字下宿乙2231-2
電話:0954-43-0680
初穂料特別御朱印500円御朱印お気持ちで御朱印対応時間:9:00~17:00
※電話問い合わせで時間外対応可※通常御朱印については、月によってデザインが変更となります。
(イメージ12月分)
Instagram"
W-040,web,1,2128,9107,2278,9168,150,61,12,"特別御朱印
(500円)"
W-041,web,1,2678,9107,2809,9164,131,57,8,御朱印(気持ち)
W-042,web,1,835,9379,1827,9692,992,313,111,"すえやまじんじゃ39陶山神社
応神天皇を祀る陶山神社は、1658年「有田皿山宗廟八幡宮」として創建。白磁に呉須の鳥居狛犬灯籠など名品が点在し「野外美術館」と称される。境内をJR佐世保本線が通ることでも有名。
√特別
御朱印"
W-043,web,1,1923,9705,2118,9888,195,183,22,"【武雄温泉駅】
村子駅長
Googlemap"
W-044,web,1,870,9849,1456,9878,586,29,18,最寄り駅JR上有田駅から徒歩約10分
W-045,web,1,838,9974,1520,10284,682,310,81,"住所:佐賀県西松浦郡有田町大樽2-5-1
電話:0955-42-3310
初穂料特別御朱印800円御朱印500円御朱印対応時間:9:00~16:00
ホームページ"
W-046,web,1,2128,10496,2284,10556,156,60,12,"特別御朱印
(800円)"
W-047,web,1,2646,10496,2828,10556,182,60,13,"御朱印
書置き(500円)"
W-048,web,1,838,10880,2000,11971,1162,1091,214,"40亀山八幡宮
平戸藩主松浦家の代々の守護神として崇められ、軍港佐世保旧海軍の武神としての崇敬も集めた。家内安全や安産などのご神徳があり、地域の氏神さま「八幡さん」として親しまれている。
最寄り駅JR佐世保駅から徒歩約35分
住所長崎県佐世保市八幡町3-3
電話:0956-24-8983
初穂料特別御朱印800円御朱印300円御朱印対応時間:9:30~16:00
Instagram
<特別
御朱印
長崎
かめやまはちまんぐう"
W-049,web,1,1939,11392,2121,11571,182,179,21,"【佐世保駅】
横田駅長
Googlemap"
W-050,web,1,2118,12179,2281,12240,163,61,14,"特別御朱印
置き(800円)"
W-051,web,1,2592,12182,2912,12243,320,61,18,"御朱印
書きと書置き両方(300円)"
W-052,web,1,838,12454,1827,12768,989,314,101,"ふくいしかんのんせいがんじ41石観音清岩
御朱印
名僧行基が刻んだと伝わる十一面観音と弘法大使によるに五百羅漢を安置されている九州七観音の一つ。毎年8月8日~10日「四万六千日祭」が行われ縁日で賑わう。"
W-053,web,1,1939,12774,2121,12960,182,186,21,"【佐世保駅】
横田駅長
Googlemap"
W-054,web,1,838,12924,1520,13360,682,436,94,"最寄り駅JR佐世保駅から徒歩約19分
住所長崎県佐世保市福石町24-5
0956-31-8372
初穂料特別御朱印800円御朱印300円御朱印対応時間:9:00~17:00
|ホームページ"
W-055,web,1,2643,13324,2832,13632,189,308,14,"御朱印
書き(300円)
清"
W-056,web,1,2128,13568,2281,13632,153,64,12,"特別御朱印
(800円)"
W-057,web,1,838,13843,1830,14156,992,313,110,"こうてんぐう
42昊天宮
昊天とは宇宙大空を守護する天津神のこと。天津神を祀り肥前国彼杵郡の総鎮守として三千年の歴史を持つ古社。大村氏が戦いに勝利し領地回復した際にお供えした神饌が大村寿司の発祥とされる。
<特別
御朱印"
W-058,web,1,1942,14166,2124,14352,182,186,21,"【新大村駅】
井手駅長
Googlemap"
W-059,web,1,870,14313,1552,14342,682,29,22,"JR大村車両基地駅から徒歩約10分
最寄り駅"
W-060,web,1,835,14438,1520,14748,685,310,77,"住所:長崎県大村市宮小路2-537電話:0957-55-0410
初穂料特別御朱印500円御朱印500円御朱印対応時間:8:00~17:00
ホームページ"
W-061,web,1,2092,14880,2361,15027,269,147,20,"R
特別御朱印
と書置き両方(500円)"
W-062,web,1,2563,14960,2905,15020,342,60,19,"御朱印
直書きと書置き両方(500円)"
W-063,web,1,838,15241,1827,15548,989,307,110,"43富松神社
江戸期に藩主大村氏が藤原姓を名乗ったことから、藤原一門の祖神奈良春日大社の御祭神「天児屋根命」を祀る社として篤い信仰を受け、「とんまつさん」の名で親しまれてきた鎮守の氏神。
/特別
御朱印
とみまつじんじゃ"
W-064,web,1,1939,15558,2124,15737,185,179,21,"【新大村駅】
井手駅長
Googlemap"
W-065,web,1,870,15702,1427,15734,557,32,17,最寄り駅JR大村駅から徒歩約10分
W-066,web,1,838,15827,1513,16249,675,422,89,"住所:長崎県大村市三城町1247
0957-52-2217
初穂料特別御朱印500円御朱印300円御朱印対応時間:9:00~17:00
直書きはお時間をいただきます
ホームページ"
W-067,web,1,2150,15987,2227,16278,77,291,4,富松神社
W-068,web,1,2128,16348,2281,16412,153,64,12,"特別御朱印
(500円)"
W-069,web,1,2588,16348,2905,16409,317,61,18,"御朱印
書きと書置き両方(300円)"
W-070,web,1,838,16620,1843,17440,1005,820,224,"おおむらじんじゃ
44大村神社
1884(明治17)年大村藩の廃藩に伴い、旧藩士たちが玖島城本丸跡に歴代の領主藩主を祀るため創建。明治18年県社に昇格した。境内のオオムラサクラは天然記念物。大村市民の守護神として親しまれる。
最寄り駅JR大村駅からバスで「大村市役所」下車、徒歩約10分
住所:長崎県大村市玖島1-34-34
電話:0957-53-4835
初穂料特別御朱印500円御朱印500円
御朱印対応時間:8:00~17:00
(特別御朱印"
W-071,web,1,1939,16950,2124,17126,185,176,20,"【新大村駅】井手駅長
Googlemap"
W-072,web,1,2672,17344,2790,17628,118,284,3,大村神
W-073,web,1,2124,17731,2364,17808,240,77,15,特別御朱印置き両方(500円)
W-074,web,1,2588,17737,2908,17801,320,64,18,"御朱印
書きと書置き両方(500円)"
W-075,web,1,950,18019,1363,18041,413,22,12,みたちやまいなりじんじゃ
W-076,web,1,838,18048,1827,18326,989,278,95,"45御館山稲荷神社
行基菩薩により開基された御館山に鎮座するお稲荷さん。初日の出、桜中秋の名月など四季折々の自然が堪能でき、水引、組紐や和紙など伝統工芸の珍しい御守りを頒布。
(特別
御朱印"
W-077,web,1,1948,18339,2121,18512,173,173,20,"【諫早駅】
春本駅長
Googlemap"
W-078,web,1,870,18480,1427,18515,557,35,17,最寄り駅JR諫早駅から徒歩約20分
W-079,web,1,838,18604,1516,19024,678,420,82,"住所:長崎県諫早市宇都町61-1
電話:0957-26-1230
初穂料特別御朱印800円御朱印800円御朱印対応時間:9:00~17:00
※水曜休
ホームページ"
W-080,web,1,2627,18931,2832,19187,205,256,15,"御朱印
書置き(800円)
&"
W-081,web,1,2128,19129,2281,19187,153,58,12,"特別御朱印
(800円)"
W-082,web,1,838,19408,1827,19718,989,310,111,"46諫早神社(九州総守護四面宮)
諫早市中心部に鎮座する九州総守護の神々を祀る神社。創建1300年の歴史を持つパワースポット。日本一のアマビエ木像や陶器の三柱鳥居多彩な御朱印、開運守が人気。
特別
御朱印
いさはやじんじゃ"
W-083,web,1,1948,19731,2124,19907,176,176,20,"【諫早駅】
春本駅長
Googlemap"
W-084,web,1,870,19862,1408,19900,538,38,17,"JR諫早駅から徒歩約7分
最寄り駅"
W-085,web,1,838,19996,1584,20304,746,308,80,"住所:長崎県諫早市宇都町1-12
電話
0957-22-2073
初穂料特別御朱印1,000円御朱印500円~御朱印対応時間:9:00~17:00
ホームページ"
W-086,web,1,2636,20121,2812,20496,176,375,4,諫早神味
W-087,web,1,2107,20237,2289,20399,182,162,3,はじる
W-088,web,1,2105,20518,2294,20576,189,58,16,"特別御朱印
置き(1,000円)"
W-089,web,1,2643,20518,2832,20576,189,58,13,"御朱印
書置き(500円)"
W-090,web,1,838,20796,1830,21107,992,311,104,"47高城神社
諫早初代領主龍造寺家晴公を祭神に、諫早城跡に高城明神とし祀られた。幾度かの水害により、現在の城山中腹に遷座する神社。諫早総鎮守として、現在も多くの参拝者がある。
/特別
御朱印
たかしろじんじゃ"
W-091,web,1,1948,21107,2121,21296,173,189,20,"【諫早駅】
春本駅長
Googlemap"
W-092,web,1,838,21260,1532,21609,694,349,87,"最寄り駅島原鉄道本諫早駅から徒歩約7分
住所長崎県諫早市高城町1-5
電話0957-22-0650
初穂料特別御朱印500円御朱印500円御朱印対応時間:9:00~16:00"
W-093,web,1,2128,21904,2281,21968,153,64,12,"特別御朱印
(500円)"
W-094,web,1,2643,21907,2828,21974,185,67,13,"御朱印
書置き(500円)"
W-095,web,1,838,22214,1827,22499,989,285,95,"48鎮西大社諏訪神社
鎮西大社と称えられる長崎の総氏神様。厄除け縁結び海上守護として崇敬されている。当神社の大祭「長崎くんち」は重要無形民俗文化財に指定される日本三大祭の一つ。
特別
御朱印"
W-096,web,1,950,22185,1433,22211,483,26,14,ちんぜいたいしゃすわじんじゃ
W-097,web,1,1948,22508,2121,22681,173,173,20,"【長崎駅】長
宮城駅
Googlemap"
W-098,web,1,870,22640,1833,22681,963,41,29,最寄り駅JR長崎駅から路面電車で「諏訪神社」下車、徒歩すぐ
W-099,web,1,838,22771,1548,23193,710,422,94,"住所長崎県長崎市上西山町18-15電話:095-824-0445
初穂料特別御朱印1,000円御朱印500円御朱印対応時間:9:00~16:00
※長崎くんち開催中は対応不可
ホームページ"
W-100,web,1,1936,22960,1990,23254,54,294,8,令和七年一月一日
W-101,web,1,2643,23225,2832,23353,189,128,15,"1
御朱印
書置き(500円)"
W-102,web,1,2105,23292,2291,23360,186,68,17,"御朱印
特別
置き(1,000円)"
W-103,web,1,838,23571,1830,23884,992,313,111,"ふちじんじゃ
49淵神社
境内の被爆樹木が平和を伝える神社。特別御朱印は、原爆により消失した二代目長崎駅舎と、倒壊した淵神社社務所から見つけ出されたご朱印がひとつになった特別なもの。(協力長崎手彩色絵葉書)
<特別
御朱印"
W-104,web,1,1945,23897,2118,24073,173,176,20,"【長崎駅】
宮城駅長
Googlemap"
W-105,web,1,1118,24044,1616,24063,498,19,30,最寄り駅JR長崎駅からバスで「ロープウェイ前」下車、徒歩すぐ
W-106,web,1,838,24163,1520,24521,682,358,95,"住所長崎県長崎市淵町8-1
電話:095-861-0836
初穂料特別御朱印500円御朱印300円
御朱印対応時間:平日9:00~17:00
※12:00~13:00対応不可※土日祝要問合せ"
W-107,web,1,2712,24422,2781,24488,69,66,5,"社長
神崎"
W-108,web,1,2115,24688,2281,24745,166,57,13,"|特別御朱印
(500円)"
W-109,web,1,2601,24688,2873,24745,272,57,16,"御朱印
ハンコを押印(300円)"
W-110,web,1,838,25065,2000,25568,1162,503,98,"50奥平神社
背後に中津城がそびえる奥平神社は、中津藩に入府した奥平昌成公が五穀豊穣と世の泰平を祈念して1717年に創設。徳川を助けた奥平氏の三柱、貞能信昌家昌を祀っている。
/特別
御朱印
大分"
W-111,web,1,950,25254,1209,25286,259,32,9,おくだいらじんじゃ
W-112,web,1,1948,25580,2121,25756,173,176,19,"【中津駅】橋倉駅長
Googlemap"
W-113,web,1,870,25724,1430,25753,560,29,17,最寄り駅JR中津駅から徒歩約15分
W-114,web,1,838,25846,1552,26070,714,224,73,"住所:大分県中津市ニノ丁1273-2電話:0979-22-3651
初穂料特別御朱印1,000円御朱印500円御朱印対応時間:9:00~17:00"
W-115,web,1,1945,26118,1990,26320,45,202,4,和年月日
W-116,web,1,2128,26368,2294,26428,166,60,14,"特別御朱印
(1,000円)"
W-117,web,1,2643,26368,2832,26428,189,60,12,御朱印書置き(500円)
W-118,web,1,838,26649,1827,26956,989,307,104,"うさじんぐう
51宇佐神宮
全国4万社余りの八幡神社総本宮。本殿は古代の神社建築の様式を受け継ぐ八幡造で国宝に指定されている。2025年には八幡大神が本殿に鎮座されて1300年の佳節を迎える。
(特別
御朱印"
W-119,web,1,1948,26972,2121,27148,173,176,19,"【中津駅】橋倉駅長
Googlemap"
W-120,web,1,870,27107,1462,27148,592,41,19,"JR宇佐駅からバスで約10分
最寄り駅"
W-121,web,1,838,27238,1520,27548,682,310,78,"住所:大分県宇佐市南宇佐2859
電話:0978-37-0001
初穂料特別御朱印700円御朱印500円
御朱印対応時間:8:30~16:00
ホームページ"
W-122,web,1,2070,27382,2112,27673,42,291,7,今和七年一月一
W-123,web,1,2592,27376,2908,27827,316,451,28,"今年一月一宇佐神宫
御朱印
書きと書置き両方(500円)"
W-124,web,1,2038,27760,2364,27817,326,57,19,"特別御朱印
書きと置き両方(700円)"
W-125,web,1,950,28038,1302,28064,352,26,11,はちまんかまどじんじゃ
W-126,web,1,838,28064,2118,28934,1280,870,222,"52八幡竈門神社
全国的にも珍しい三十六神を祀る八幡竈門神社は、別府湾や国東半島など絶景を望む小高い山に鎮座する。開運なで亀や拝殿天井画の龍、空洞のある御神木など見どころも多い。
最寄り駅JR亀川駅から徒歩約20分
住所:大分県別府市大字内1900
電話:0977-66-1633
初穂料特別御朱印1,000円御朱印500円1,000円御朱印対応時間:9:00~17:00
<特別
御朱印
【亀川駅】
塩田駅長
Googlemap
ホームページ"
W-127,web,1,2643,28768,2832,29209,189,441,20,"八幡竈門神社
書置き(500円)
御朱印"
W-128,web,1,2128,29148,2297,29212,169,64,14,"特別御朱印
(1,000円)"
W-129,web,1,992,29299,1184,29724,192,425,20,"八幡竈門神社
御朱印
書置き(500円)"
W-130,web,1,1532,29664,1747,29728,215,64,14,"御朱印書置き(1,000円)"
W-131,web,1,2083,29667,2291,29728,208,61,14,"御朱印書置き(1,000円)"
W-132,web,1,838,29945,1833,30256,995,311,117,"53春日神社
860年、国司藤原朝臣世数が奈良春日大社の四所大神を迎えたという県内有数の古社。大分駅の氏神社であり、市街地にありながら境内は約8,000坪、御神木の大楠をはじめ緑あふれる憩いの社である。
/特別
御朱印
かすがじんじゃ"
W-133,web,1,1945,30262,2121,30444,176,182,19,"【大分駅】恋塚駅長
Googlemap"
W-134,web,1,870,30406,1427,30444,557,38,18,"JR大分駅から徒歩約20分
最寄り駅"
W-135,web,1,838,30534,1520,30841,682,307,78,"住所:大分県大分市勢家町4-6-87電話:097-532-5638
初穂料特別御朱印500円御朱印500円御朱印対応時間:8:30~17:00
ホームページ"
W-136,web,1,2118,31049,2281,31113,163,64,14,"特別御朱印
置き(500円)"
W-137,web,1,2643,31052,2828,31116,185,64,13,"御朱印
書置き(500円)"
W-138,web,1,950,31331,1363,31363,413,32,13,うえのわかみやはちまんしゃ
W-139,web,1,838,31363,1824,31644,986,281,103,"54上野若宮八幡社
1195年、豊後の守護大友氏初代当主の能直が源氏の氏神を祀る鎌倉の鶴岡八幡宮から分霊したと伝えられ、豊後大友氏ゆかりの神社。拝殿と本殿は鮮やかな朱塗りで、ひと際目を引く。
/特別
御朱印"
W-140,web,1,1945,31657,2124,31836,179,179,20,"【大分駅】
恋塚駅長
Googlemap"
W-141,web,1,870,31795,1430,31830,560,35,17,最寄り駅JR大分駅から徒歩約15分
W-142,web,1,835,31923,1516,32147,681,224,71,"住所:大分県大分市上野町10-28
電話:097-543-5738
初穂料特別御朱印500円御朱印500円御朱印対応時間:9:00~16:00"
W-143,web,1,2617,32252,2828,32505,211,253,17,"年月日
書置き(500円)
御朱印"
W-144,web,1,2128,32444,2278,32502,150,58,12,"特別御朱印
(500円)"
W-145,web,1,950,32723,1248,32752,298,29,10,おおはらはちまんぐう
W-146,web,1,838,32748,1830,33033,992,285,97,"55大原八幡宮
天武天皇の680年に、天瀬町鞍形尾の地に示現された八万神を祀ったのが起源とされる。社殿は日田市有形文化財、拝殿・幣殿・本殿は造りで、建築当時の様式を残している。
(特別)
御朱印"
W-147,web,1,1948,33049,2118,33225,170,176,20,"【日田駅】
田村駅長
Googlemap"
W-148,web,1,867,33184,1427,33219,560,35,18,"JR日田駅から徒歩約10分
最寄り駅"
W-149,web,1,838,33312,1552,33622,714,310,88,"住所:大分県日田市田島2-184
電話:0973-23-8951
初穂料特別御朱印1,000円御朱印500円御朱印対応時間:9:00~15:30
12:00~13:00対応不可"
W-150,web,1,2080,33833,2297,33894,217,61,17,"特別御朱印
書置き(1,000円)"
W-151,web,1,838,34115,1824,34425,986,310,115,"56扇森稲荷神社
1616年に稲荷神社として創祀。「こうとうさま」と呼ばれパワースポットとして親しまれている。17mの大鳥居を通り100段の石段を登ると、朱の鳥居が並ぶ参道が現れ圧巻の景色。
特別
御朱印
おおぎもりいなりじんじゃ"
W-152,web,1,1923,34435,2121,34611,198,176,22,"【豊後竹田駅】
菊地駅長
Googlemap"
W-153,web,1,870,34576,1427,34608,557,32,17,最寄り駅JR玉来駅から徒歩約20分
W-154,web,1,838,34700,1340,34924,502,224,62,"住所:大分県竹田市拝田原811
電話:0974-63-1588
初穂料特別御朱印300円御朱印対応時間:8:00~16:00"
W-155,web,1,2220,34848,2297,35104,77,256,3,祥勇味
W-156,web,1,2128,35222,2284,35283,156,61,12,"特別御朱印
(300円)"
W-157,web,1,838,35504,1830,35811,992,307,111,"57福良天満宮
太宰府天満宮の御分霊・菅原道真公を祀る天満宮。地域に伝わる言い伝えからシンボルになった「招福赤猫」は全国的に珍しく、商売繁盛・福徳開運・幸運健康など様々な御利益がある。
(特別)
御朱印
ふくらてんまんぐう"
W-158,web,1,1945,35827,2326,36003,381,176,26,"【臼杵駅】
藤田駅長
Googlemap
受験合格析"
W-159,web,1,870,35961,1440,35996,570,35,18,"JR上臼杵駅から徒歩約5分
最寄り駅"
W-160,web,1,838,36089,1580,36518,742,429,92,"住所:大分県臼杵市福良211電話:0972-63-2739
初穂料特別御朱印1,200円御朱印500円~御朱印対応時間:8:00~17:00
※土日祝8:00~18:00
ホームページ"
W-161,web,1,2576,36224,2924,36678,348,454,26,"◯金七年月日
書きと書置き両方(500円~)
御朱印"
W-162,web,1,1987,36611,2409,36675,422,64,22,"特別御朱印
書き置き両(見開き1,200円)"
W-163,web,1,838,36921,1830,37200,992,279,96,"58臼杵八坂神社
主祭神は建速須佐之男命尊奇稲田姫命大国主命。1000年以上も歴史ある神社で家内安全、厄除けを中心に様々なご利益があるとされ、地域の守護神として信仰を集める。
(特別)
御朱印"
W-164,web,1,956,36892,1302,36921,346,29,10,うすきやさかじんじゃ
W-165,web,1,1945,37216,2118,37392,173,176,20,"【臼杵駅】
藤田駅長
Googlemap"
W-166,web,1,870,37350,1424,37385,554,35,17,最寄り駅JR臼杵駅から徒歩約15分
W-167,web,1,838,37478,1683,37792,845,314,79,"住所:大分県臼杵市臼杵
電話:0972-62-3673
初穂料特別御朱印500円御朱印500円~1,000円御朱印対応時間:9:00~16:00
ホームページ"
W-168,web,1,2038,37641,2364,38064,326,423,27,"八社旅行安全
特別御朱印
書きと書置き両方(500円)"
W-169,web,1,2800,37641,2857,37875,57,234,4,健康長壽
W-170,web,1,2563,38003,2905,38064,342,61,18,御朱印直書きと書置き両方(500円)
W-171,web,1,902,38515,1270,38585,368,70,21,"御朱印
直書きと書置き両方(1,000円)"
W-172,web,1,838,38800,1830,39110,992,310,105,"ごしょみょうじんしゃ59五所明神社
806年創祀。旧毛利家の総鎮守として知られ、加茂春日住吉・梅ノ宮稲荷の五所が祀られている。入母屋造本瓦葺の拝殿、流造杮葺の本殿など歴史を感じる建造物が建つ。
(特別)
御朱印"
W-173,web,1,1945,39120,2118,39299,173,179,19,"【佐伯駅】原野駅長
Googlemap"
W-174,web,1,870,39257,1430,39292,560,35,17,最寄り駅JR佐伯駅から徒歩約10分
W-175,web,1,838,39388,1520,39696,682,308,81,"住所:大分県佐伯市臼坪19-4
電話:0972-22-1256
初穂料特別御朱印500円御朱印500円御朱印対応時間:9:00~16:00
※不在不可あり電話確認"
W-176,web,1,2156,39526,2204,39657,48,131,3,五所社
W-177,web,1,2627,39520,2870,39968,243,448,30,"令和六年4月一日五所明神社
御朱印
直書き(500円)
佐藤"
W-178,web,1,2118,39910,2278,39971,160,61,13,特別御朱印置き(500円)
W-179,web,1,838,40291,2000,40793,1162,502,112,"60肥後國総鎮護北岡神社
平安後期、肥後国司が疫病を鎮めるため創建。近衛天皇から賜った尊称を持つ九州第一の祇園社。樹齢千年を超える夫婦欄の良縁祈願や熊本市郷土文化財認定の祇園祭で知られる歴史と伝統の神社。
特別
御朱印
熊本"
W-180,web,1,953,40483,1561,40508,608,25,17,ひごこくそうちんごきたおかじんじゃ
W-181,web,1,1945,40806,2118,40985,173,179,19,"【熊本駅】川底駅長
Googlemap"
W-182,web,1,870,40944,1411,40982,541,38,16,最寄り駅JR熊本駅から徒歩約4分
W-183,web,1,835,41072,1552,41379,717,307,82,"住所:熊本県熊本市西区春日1-8-16
電話:096-352-2867
初穂料特別御朱印1,000円御朱印500円御朱印対応時間:9:00~17:00
ホームページ"
W-184,web,1,2672,41196,2784,41462,112,266,3,北岡神
W-185,web,1,2608,41324,2652,41555,44,231,7,和六年四月10
W-186,web,1,2080,41590,2297,41654,217,64,18,"|特別御朱印
書置き(1,000円)"
W-187,web,1,2643,41593,2832,41654,189,61,13,"御朱印
書置き(500円)"
W-188,web,1,838,41875,1827,42182,989,307,112,"61大津日吉神社
参勤交代第一の宿場町の高台に鎮座する神社で、つつじの名所。「魔除け厄除け鬼門除け日吉大黒福の神」と親しまれ、「魔去る」「勝る」「増さる」に通じ縁起の良いとされる神猿(まさる)像もある。
おおづひよしじんじゃ"
W-189,web,1,1923,42195,2124,42371,201,176,22,"【肥後大津駅】
佐藤駅長
Googlemap"
W-190,web,1,870,42336,1491,42368,621,32,19,最寄り駅JR肥後大津駅から徒歩約10分
